track_key,seed,changed_blocks,total_blocks,changed_seconds,input_error_mass,changed_input_distance,inside_output_change,outside_output_change,localization_contrast,changed_target_effect,full_output_change
al_james_schoolboy_facination,123,24,24,12.0,0.6721372833130955,0.6721372833130955,0.06803448747120039,0.0,0.0,0.1994507301212134,0.06803448747120039
al_james_schoolboy_facination,2027,24,24,12.0,0.6721372833130955,0.6721372833130955,0.08711513764502361,0.0,0.0,0.1968328558349299,0.08711513764502361
al_james_schoolboy_facination,42,24,24,12.0,0.6721372833130955,0.6721372833130955,0.10584521716909957,0.0,0.0,0.24961937940166026,0.10584521716909957
am_contra_heart_peripheral,123,24,24,12.0,0.630759427876518,0.630759427876518,0.062278528627751774,0.0,0.0,0.13561896226609915,0.062278528627751774
am_contra_heart_peripheral,2027,24,24,12.0,0.630759427876518,0.630759427876518,0.08865309563679041,0.0,0.0,0.14949506516557395,0.08865309563679041
am_contra_heart_peripheral,42,24,24,12.0,0.630759427876518,0.630759427876518,0.11467788409745638,0.0,0.0,0.2209824605272818,0.11467788409745638
arise_run_run_run,123,14,24,7.0,0.25044497025790297,0.4293342347278339,0.07920831758706726,0.050387952452230746,0.02882036513483651,0.11959783344477626,0.0671998321142187
arise_run_run_run,2027,14,24,7.0,0.25044497025790297,0.4293342347278339,0.052291138909423,0.03463957598244281,0.01765156292698019,0.131605114286612,0.04493632102318126
arise_run_run_run,42,14,24,7.0,0.25044497025790297,0.4293342347278339,0.07973096518308893,0.03612033315077997,0.043610632032308964,0.16289105002836182,0.06155986850296019
ben_carrigan_we_ll_talk_about_it_all_tonight,123,21,24,10.5,0.4271904775015825,0.48821768857323744,0.07235142958201124,0.005439361067741307,0.06691206851426994,0.1196122251316462,0.06398742101772752
ben_carrigan_we_ll_talk_about_it_all_tonight,2027,21,24,10.5,0.4271904775015825,0.48821768857323744,0.07104366090680542,0.06528685635990912,0.005756804546896296,0.1315469596553017,0.07032406033844338
ben_carrigan_we_ll_talk_about_it_all_tonight,42,21,24,10.5,0.4271904775015825,0.48821768857323744,0.09583743368862059,0.012403131163181333,0.08343430252543926,0.22397212103048722,0.0854081458729407
bks_bulldozer,123,23,24,11.5,0.7094605776954871,0.740306689769204,0.0876370045624296,0.057913124561309814,0.02972388000111978,0.15592002198326288,0.08639850956238293
bks_bulldozer,2027,23,24,11.5,0.7094605776954871,0.740306689769204,0.054490872982091355,0.03618299961090088,0.018307873371190476,0.07353194136725864,0.05372804492495844
bks_bulldozer,42,23,24,11.5,0.7094605776954871,0.740306689769204,0.06322872140900301,0.08756447360303843,-0.024335752194035415,0.10645254764221838,0.06424271108375448
bks_too_much,123,21,24,10.5,0.3580526459555991,0.4092030239492561,0.08158531007535837,0.007758696916025561,0.07382661315933281,0.13332684940070866,0.07235698343044178
bks_too_much,2027,21,24,10.5,0.3580526459555991,0.4092030239492561,0.05861893063692102,0.024042407843855546,0.03457652279306547,0.1286758499231802,0.05429686528778785
bks_too_much,42,21,24,10.5,0.3580526459555991,0.4092030239492561,0.06467055628678149,0.03907543629489888,0.02559511999188261,0.13135123251787775,0.06147116628779616
buitraker_revo_x,123,20,24,10.0,0.4807245828566491,0.5768694994279789,0.11255999389080104,0.0219310228216969,0.09062897106910414,0.2842824052109639,0.09745516537928368
buitraker_revo_x,2027,20,24,10.0,0.4807245828566491,0.5768694994279789,0.11912360401204922,0.019381196720067995,0.09974240729198122,0.23451268356379643,0.10249986946338567
buitraker_revo_x,42,20,24,10.0,0.4807245828566491,0.5768694994279789,0.08291334759466969,0.018795326958915892,0.0641180206357538,0.23400216208732655,0.07222701082204404
detsky_sad_walkie_talkie,123,18,24,9.0,0.34838048432058843,0.46450731242745125,0.050218588178312394,0.0778863854324714,-0.027667797254159,0.11544496698727527,0.05713553749185215
detsky_sad_walkie_talkie,2027,18,24,9.0,0.34838048432058843,0.46450731242745125,0.1499467881789265,0.0939877685751634,0.05595901960376311,0.20242959300522645,0.13595703327798572
detsky_sad_walkie_talkie,42,18,24,9.0,0.34838048432058843,0.46450731242745125,0.08660638643622974,0.08597556268548028,0.0006308237507494652,0.1266091215746624,0.08644868049854237
forkupines_semantics,123,21,24,10.5,0.43966797020988885,0.5024776802398729,0.09868426744045858,0.017666519946438197,0.08101774749402038,0.12247945139065466,0.08855704900370602
forkupines_semantics,2027,21,24,10.5,0.43966797020988885,0.5024776802398729,0.07268564102335226,0.03275688489278158,0.03992875613057068,0.07463099591389037,0.06769454650703093
forkupines_semantics,42,21,24,10.5,0.43966797020988885,0.5024776802398729,0.09853472879044253,0.01739583483596859,0.08113889395447395,0.17331395059146884,0.08839236704613329
georgia_wonder_siren,123,24,24,12.0,0.7398455634490319,0.7398455634490319,0.08916931192183648,0.0,0.0,0.1875661500940584,0.08916931192183648
georgia_wonder_siren,2027,24,24,12.0,0.7398455634490319,0.7398455634490319,0.0675058546445928,0.0,0.0,0.16362741673861203,0.0675058546445928
georgia_wonder_siren,42,24,24,12.0,0.7398455634490319,0.7398455634490319,0.10169882409178733,0.0,0.0,0.34287509642710545,0.10169882409178733
girls_under_glass_we_feel_alright,123,24,24,12.0,0.7263700356268172,0.7263700356268172,0.10557496698362297,0.0,0.0,0.2370790270975174,0.10557496698362297
girls_under_glass_we_feel_alright,2027,24,24,12.0,0.7263700356268172,0.7263700356268172,0.10306563542127194,0.0,0.0,0.21735254400692136,0.10306563542127194
girls_under_glass_we_feel_alright,42,24,24,12.0,0.7263700356268172,0.7263700356268172,0.09244273162047045,0.0,0.0,0.23137940705290835,0.09244273162047045
hollow_ground_ill_fate,123,24,24,12.0,0.8051041877192538,0.8051041877192538,0.09345081816150634,0.0,0.0,0.21860910985669438,0.09345081816150634
hollow_ground_ill_fate,2027,24,24,12.0,0.8051041877192538,0.8051041877192538,0.1113731793191237,0.0,0.0,0.21590273281778902,0.1113731793191237
hollow_ground_ill_fate,42,24,24,12.0,0.8051041877192538,0.8051041877192538,0.124338648561176,0.0,0.0,0.24050864184397805,0.124338648561176
juliet_s_rescue_heartbeats,123,23,24,11.5,0.5584413643942409,0.5827214237157297,0.0914446327309214,0.017634571649704722,0.07381006108121668,0.15913876014559672,0.08836921351920403
juliet_s_rescue_heartbeats,2027,23,24,11.5,0.5584413643942409,0.5827214237157297,0.054473143069231886,0.001494407742882231,0.052978735326349655,0.11789097542761935,0.05226569576396731
juliet_s_rescue_heartbeats,42,23,24,11.5,0.5584413643942409,0.5827214237157297,0.05565606201894386,0.0941271185874939,-0.03847105656855004,0.18429684991403028,0.05725902270930011
little_chicago_s_finest_my_own,123,24,24,12.0,0.7469843397383681,0.7469843397383681,0.06363305700328213,0.0,0.0,0.1365441673239098,0.06363305700328213
little_chicago_s_finest_my_own,2027,24,24,12.0,0.7469843397383681,0.7469843397383681,0.04279936242231464,0.0,0.0,0.09733174489303077,0.04279936242231464
little_chicago_s_finest_my_own,42,24,24,12.0,0.7469843397383681,0.7469843397383681,0.07167321245596307,0.0,0.0,0.15010747483455802,0.07167321245596307
louis_cressy_band_good_time,123,22,24,11.0,0.5043478711433265,0.5501976776109014,0.06579409449959839,0.01317983865737915,0.05261425584221924,0.08183122568493272,0.06140957317941346
louis_cressy_band_good_time,2027,22,24,11.0,0.5043478711433265,0.5501976776109014,0.09815921714673084,0.0050439241034787585,0.09311529304325208,0.18057027161103287,0.09039960939312651
louis_cressy_band_good_time,42,22,24,11.0,0.5043478711433265,0.5501976776109014,0.08094306158645702,0.025283396244049072,0.055659665342407946,0.1654810006605021,0.07630475614125636
lyndsey_ollard_catching_up,123,23,24,11.5,0.589713480650718,0.6153531972007492,0.09400239923214443,0.02155923971886875,0.07244315951327568,0.1792156628311189,0.09098393425242464
lyndsey_ollard_catching_up,2027,23,24,11.5,0.589713480650718,0.6153531972007492,0.07066448535656164,0.012584508215457646,0.058079977141103994,0.1888705345459311,0.06824448630901565
lyndsey_ollard_catching_up,42,23,24,11.5,0.589713480650718,0.6153531972007492,0.1251383266431369,0.026509344577789307,0.09862898206534759,0.3198833265031752,0.12102878572374741
motor_tapes_shore,123,19,24,9.5,0.4755538858376407,0.6006996452685988,0.057234365742892084,0.05499179649353565,0.002242569249356431,0.1433982499218301,0.05676716381594283
