track_key,seed,changed_blocks,total_blocks,changed_seconds,input_error_mass,changed_input_distance,inside_output_change,outside_output_change,localization_contrast,changed_target_effect,full_output_change
al_james_schoolboy_facination,123,24,24,12.0,0.6721372833130955,0.6721372833130955,0.49964879446373606,0.0,0.0,0.5594673689898599,0.49964879446373606
al_james_schoolboy_facination,2027,24,24,12.0,0.6721372833130955,0.6721372833130955,0.39667346455717883,0.0,0.0,0.5223185795124533,0.39667346455717883
al_james_schoolboy_facination,42,24,24,12.0,0.6721372833130955,0.6721372833130955,0.49999582881610677,0.0,0.0,0.4944388240498376,0.49999582881610677
am_contra_heart_peripheral,123,24,24,12.0,0.630759427876518,0.630759427876518,0.43227363124634727,0.0,0.0,0.47485866327197107,0.43227363124634727
am_contra_heart_peripheral,2027,24,24,12.0,0.630759427876518,0.630759427876518,0.22889818606557388,0.0,0.0,0.35263960439604386,0.22889818606557388
am_contra_heart_peripheral,42,24,24,12.0,0.630759427876518,0.630759427876518,0.3192357366720163,0.0,0.0,0.5461043821482626,0.3192357366720163
arise_run_run_run,123,14,24,7.0,0.25044497025790297,0.4293342347278339,0.44102597970861385,0.3195591585521532,0.12146682115646062,0.4554861865766059,0.39041480422675523
arise_run_run_run,2027,14,24,7.0,0.25044497025790297,0.4293342347278339,0.34789723282443036,0.13703048207128993,0.21086675075314043,0.34550095750441084,0.2600360866772885
arise_run_run_run,42,14,24,7.0,0.25044497025790297,0.4293342347278339,0.36217059508226995,0.051225775895454385,0.31094481918681555,0.37305865492819146,0.23261025375443012
ben_carrigan_we_ll_talk_about_it_all_tonight,123,21,24,10.5,0.4271904775015825,0.48821768857323744,0.533989329943011,0.013050278027852377,0.5209390519151585,0.4350245474828154,0.4688719484536161
ben_carrigan_we_ll_talk_about_it_all_tonight,2027,21,24,10.5,0.4271904775015825,0.48821768857323744,0.5828811651166379,0.08030522030726683,0.5025759448093711,0.49997301954342255,0.5200591720154666
ben_carrigan_we_ll_talk_about_it_all_tonight,42,21,24,10.5,0.4271904775015825,0.48821768857323744,0.590436947662056,0.024332287628034854,0.5661046600340212,0.5665796625927986,0.5196738651578033
bks_bulldozer,123,23,24,11.5,0.7094605776954871,0.740306689769204,0.5374627939624207,0.021379530429840088,0.5160832635325806,0.6314832624522968,0.5159593246485632
bks_bulldozer,2027,23,24,11.5,0.7094605776954871,0.740306689769204,0.4725839023959786,0.08757728860242897,0.3850066137935496,0.5690685477483816,0.45654196015458076
bks_bulldozer,42,23,24,11.5,0.7094605776954871,0.740306689769204,0.46498278274809,0.127685546875,0.33729723587309,0.585442487987777,0.4509287312533779
bks_too_much,123,21,24,10.5,0.3580526459555991,0.4092030239492561,0.5205175563783597,0.05475732215443504,0.4657602342239247,0.42925532782843956,0.46229752710036914
bks_too_much,2027,21,24,10.5,0.3580526459555991,0.4092030239492561,0.5019679774582475,0.05309784439348301,0.4488701330647645,0.40210056036260605,0.445859210825152
bks_too_much,42,21,24,10.5,0.3580526459555991,0.4092030239492561,0.40347290435310723,0.03494852860515137,0.3685243757479559,0.4067271908204087,0.3574073573846128
buitraker_revo_x,123,20,24,10.0,0.4807245828566491,0.5768694994279789,0.46184936866820675,0.026761056042644865,0.4350883126255619,0.6639142049470599,0.3893346498972798
buitraker_revo_x,2027,20,24,10.0,0.4807245828566491,0.5768694994279789,0.30609897734992775,0.08457076642470449,0.22152821092522326,0.4559354895740661,0.26917760886239056
buitraker_revo_x,42,20,24,10.0,0.4807245828566491,0.5768694994279789,0.4768101629030683,0.0738740714428685,0.4029360914601998,0.5662615708294908,0.4096541476597016
detsky_sad_walkie_talkie,123,18,24,9.0,0.34838048432058843,0.46450731242745125,0.5037143208644409,0.29235103988757183,0.21136328097686907,0.5564565202071513,0.45087350062022363
detsky_sad_walkie_talkie,2027,18,24,9.0,0.34838048432058843,0.46450731242745125,0.40425790377673576,0.16556458802810076,0.238693315748635,0.4959023041707874,0.344584574839577
detsky_sad_walkie_talkie,42,18,24,9.0,0.34838048432058843,0.46450731242745125,0.42358482698015415,0.08212096710230092,0.3414638598778532,0.4744542912570347,0.3382188620106909
forkupines_semantics,123,21,24,10.5,0.43966797020988885,0.5024776802398729,0.6274611217990534,0.03634268089348328,0.5911184409055702,0.591398009743666,0.5535713166858572
forkupines_semantics,2027,21,24,10.5,0.43966797020988885,0.5024776802398729,0.38498146866396316,0.06635918601743544,0.3186222826465277,0.4089779282348081,0.3451536833331472
forkupines_semantics,42,21,24,10.5,0.43966797020988885,0.5024776802398729,0.43845387915090117,0.04552720261775667,0.3929266765331445,0.4601698010481179,0.3893380445842581
georgia_wonder_siren,123,24,24,12.0,0.7398455634490319,0.7398455634490319,0.29346580583441234,0.0,0.0,0.5285651526722641,0.29346580583441234
georgia_wonder_siren,2027,24,24,12.0,0.7398455634490319,0.7398455634490319,0.4657508284008485,0.0,0.0,0.5880628983933274,0.4657508284008485
georgia_wonder_siren,42,24,24,12.0,0.7398455634490319,0.7398455634490319,0.5202348929159653,0.0,0.0,0.7524920635869307,0.5202348929159653
girls_under_glass_we_feel_alright,123,24,24,12.0,0.7263700356268172,0.7263700356268172,0.45285709209136643,0.0,0.0,0.5292729208056319,0.45285709209136643
girls_under_glass_we_feel_alright,2027,24,24,12.0,0.7263700356268172,0.7263700356268172,0.462396426731502,0.0,0.0,0.6737194069861087,0.462396426731502
girls_under_glass_we_feel_alright,42,24,24,12.0,0.7263700356268172,0.7263700356268172,0.47382988246097396,0.0,0.0,0.7753688927311472,0.47382988246097396
