track_key,seed,changed_blocks,total_blocks,changed_seconds,input_error_mass,changed_input_distance,inside_output_change,outside_output_change,localization_contrast,changed_target_effect,full_output_change
al_james_schoolboy_facination,123,24,24,12.0,0.6721372833130955,0.6721372833130955,0.52423359005455,0.0,0.0,0.6557836225445204,0.52423359005455
al_james_schoolboy_facination,2027,24,24,12.0,0.6721372833130955,0.6721372833130955,0.44853551824644056,0.0,0.0,0.649116830582161,0.44853551824644056
al_james_schoolboy_facination,42,24,24,12.0,0.6721372833130955,0.6721372833130955,0.5419667210989622,0.0,0.0,0.6242662586635381,0.5419667210989622
am_contra_heart_peripheral,123,24,24,12.0,0.630759427876518,0.630759427876518,0.4244757596628677,0.0,0.0,0.5597121156527324,0.4244757596628677
am_contra_heart_peripheral,2027,24,24,12.0,0.630759427876518,0.630759427876518,0.28174195856850404,0.0,0.0,0.4286516776982579,0.28174195856850404
am_contra_heart_peripheral,42,24,24,12.0,0.630759427876518,0.630759427876518,0.33199479297581985,0.0,0.0,0.5629666766618239,0.33199479297581985
arise_run_run_run,123,14,24,7.0,0.25044497025790297,0.4293342347278339,0.45039589168880173,0.32460144291826887,0.12579444877053286,0.5052079969752444,0.397981538034413
arise_run_run_run,2027,14,24,7.0,0.25044497025790297,0.4293342347278339,0.3536013522073838,0.15105647930233673,0.20254487290504708,0.4348569344935195,0.2692076551636142
arise_run_run_run,42,14,24,7.0,0.25044497025790297,0.4293342347278339,0.38227698073404154,0.05976870201979641,0.32250827871424514,0.46411868002606665,0.2478985312697727
ben_carrigan_we_ll_talk_about_it_all_tonight,123,21,24,10.5,0.4271904775015825,0.48821768857323744,0.5240328919748405,0.024419487320089472,0.499613404654751,0.5166023477313891,0.4615812163929967
ben_carrigan_we_ll_talk_about_it_all_tonight,2027,21,24,10.5,0.4271904775015825,0.48821768857323744,0.601278939474914,0.1216797503836801,0.47959918909123384,0.5733394234904201,0.5413290408385096
ben_carrigan_we_ll_talk_about_it_all_tonight,42,21,24,10.5,0.4271904775015825,0.48821768857323744,0.5898820235382571,0.04571807566474236,0.5441639478735147,0.7015135936423977,0.5218615300540678
bks_bulldozer,123,23,24,11.5,0.7094605776954871,0.740306689769204,0.5766753104544156,0.05701768738136814,0.5196576230730474,0.7012585119276322,0.5550229094930387
bks_bulldozer,2027,23,24,11.5,0.7094605776954871,0.740306689769204,0.5145315204603714,0.13806356645388207,0.37646795400648936,0.6457751281518977,0.49884535571010097
bks_bulldozer,42,23,24,11.5,0.7094605776954871,0.740306689769204,0.4913780694467568,0.11448122435584362,0.3768968450909132,0.67043819945763,0.47567403423463545
bks_too_much,123,21,24,10.5,0.3580526459555991,0.4092030239492561,0.5484627720484999,0.08867583672205608,0.4597869353264438,0.5391979671048566,0.4909894051326944
bks_too_much,2027,21,24,10.5,0.3580526459555991,0.4092030239492561,0.5212636958655187,0.10826535182347778,0.4129983440420409,0.47493981559978177,0.4696389028602635
bks_too_much,42,21,24,10.5,0.3580526459555991,0.4092030239492561,0.44543572300294704,0.0375285167091011,0.4079072062938459,0.4815502787905595,0.3944473222162163
buitraker_revo_x,123,20,24,10.0,0.4807245828566491,0.5768694994279789,0.46743439525465263,0.043352515829983757,0.4240818794246689,0.7375576677917254,0.3967540820172079
