track_key,track_id,rank,seed,error_type,effective_changed_seconds,changed_blocks,mean_changed_template_distance,full_window_input_error_mass,changed_block_target_effect,inside_output_change,outside_output_change,localization_contrast,changed_block_output_change,full_window_output_error_mass,mass_transfer_ratio,changed_block_transfer_ratio
am_contra_heart_peripheral,AM Contra - Heart Peripheral,2,123,parallel_quality,4.0,9,0.2915399554561478,0.10932748329605531,0.07869873132300036,0.0477010291229281,0.003122231686410427,0.04457879743651767,0.038739908331562906,0.01612438093872808,0.14748698545510075,0.13288027114825432
am_contra_heart_peripheral,AM Contra - Heart Peripheral,2,2027,parallel_quality,4.0,9,0.2915399554561478,0.10932748329605531,0.10327482114741234,0.030340886632301643,0.005416530132325492,0.024924356499976152,0.02514606886858053,0.012686134111485203,0.11603792321031996,0.08625256469301648
am_contra_heart_peripheral,AM Contra - Heart Peripheral,2,42,parallel_quality,4.0,9,0.2915399554561478,0.10932748329605531,0.01053368078241511,0.027884809765823478,0.00516140145338563,0.022723408312437847,0.023600236268179284,0.011789062211180002,0.10783255825303872,0.08095026368256797
am_contra_heart_peripheral,AM Contra - Heart Peripheral,2,123,relative_substitution,4.0,9,0.2915399554561478,0.10932748329605531,0.1083793790808047,0.08312790264030082,0.009385572328339515,0.0737423303119613,0.0750480330063241,0.030893752002661562,0.28257992474776245,0.2574193746064851
am_contra_heart_peripheral,AM Contra - Heart Peripheral,2,2027,relative_substitution,4.0,9,0.2915399554561478,0.10932748329605531,0.06931638768542499,0.04909649254099248,0.011226601531626808,0.03786989100936567,0.04153213383994933,0.02227198640935846,0.20371809299814062,0.14245777658491965
am_contra_heart_peripheral,AM Contra - Heart Peripheral,2,42,relative_substitution,4.0,9,0.2915399554561478,0.10932748329605531,0.1301397080335011,0.07778284035560593,0.012436825268396375,0.06534601508720955,0.0676515874614552,0.03149607966883249,0.28808931404322297,0.232049110920685
bks_bulldozer,BKS - Bulldozer,15,123,parallel_quality,4.0,9,0.290756974116353,0.10903386529363228,0.0743678457545984,0.040908295702966134,0.012781024601413322,0.02812727110155281,0.03564613524811286,0.02098481200603289,0.1924614150798012,0.12259769643168818
bks_bulldozer,BKS - Bulldozer,15,2027,parallel_quality,4.0,9,0.290756974116353,0.10903386529363228,0.039858838680431274,0.02157664417786222,0.0036300843909612543,0.017946559786900965,0.018443227841213956,0.008864497662140702,0.08130040733920858,0.06343176426727251
bks_bulldozer,BKS - Bulldozer,15,42,parallel_quality,4.0,9,0.290756974116353,0.10903386529363228,0.03809729040728552,0.017823398650890554,0.004746773853698907,0.013076624797191648,0.0166618432441163,0.008560789419546471,0.07851495860017385,0.0573050510473695
bks_bulldozer,BKS - Bulldozer,15,123,relative_substitution,4.0,9,0.290756974116353,0.10903386529363228,0.06341520069989293,0.045330185811075965,0.005637088546664095,0.03969309726441187,0.03674384780674708,0.01721424191545089,0.15787977312454524,0.12637305749386152
bks_bulldozer,BKS - Bulldozer,15,2027,relative_substitution,4.0,9,0.290756974116353,0.10903386529363228,0.05744276311117405,0.057344217532048165,0.002233403627136584,0.055110813904911585,0.04557366681448227,0.018307391016069128,0.1679055490398936,0.15674144000496076
bks_bulldozer,BKS - Bulldozer,15,42,relative_substitution,4.0,9,0.290756974116353,0.10903386529363228,0.14768871826242574,0.09621246475416975,0.005999754633712534,0.09021271012045722,0.07717010802610808,0.03231179508551255,0.29634641492801966,0.2654110301589076
bks_too_much,BKS - Too Much,23,123,parallel_quality,4.0,9,0.28053017261931606,0.1051988147322434,0.008629377163856219,0.0021586333428384057,0.0017440249027251048,0.00041460844011330096,0.003472844792758186,0.0018649523644248174,0.017727883809067386,0.01237957671480455
bks_too_much,BKS - Too Much,23,2027,parallel_quality,4.0,9,0.28053017261931606,0.1051988147322434,0.03993587947075423,0.026288527040939393,0.002538253328515088,0.023750273712424306,0.020984285913105503,0.009465416494638843,0.08997645571131796,0.0748022421872656
bks_too_much,BKS - Too Much,23,42,parallel_quality,4.0,9,0.28053017261931606,0.1051988147322434,0.02610891470029279,0.013083313741133409,0.0021535649502511423,0.010929748790882267,0.010902988049612095,0.005341408347591804,0.05077441567366504,0.03886565194685002
bks_too_much,BKS - Too Much,23,123,relative_substitution,4.0,9,0.28053017261931606,0.1051988147322434,0.13367832078531391,0.05775436643003392,0.0051644585788825715,0.05258990785115135,0.049357754538103836,0.02050318170213505,0.19489936036181243,0.17594454841434506
bks_too_much,BKS - Too Much,23,2027,relative_substitution,4.0,9,0.28053017261931606,0.1051988147322434,0.08739475432656844,0.036144921759987673,0.008793809942124238,0.027351111817863434,0.030367097044606297,0.01677121755566774,0.15942401631001804,0.10824895148022075
bks_too_much,BKS - Too Much,23,42,relative_substitution,4.0,9,0.28053017261931606,0.1051988147322434,0.09230291137665991,0.06728349724992423,0.014796839650094491,0.05248665759982974,0.06224586205621542,0.030105448116711498,0.28617668548202935,0.22188651393546907
buitraker_revo_x,Buitraker - Revo X,19,123,parallel_quality,4.0,9,0.2942264928434212,0.11033493481628281,0.08410609407687979,0.0430032119697687,0.0027353798803058365,0.040267832089462864,0.0366184528097455,0.014480164239732507,0.13123825435564201,0.12445668116376177
buitraker_revo_x,Buitraker - Revo X,19,2027,parallel_quality,4.0,9,0.2942264928434212,0.11033493481628281,0.0538779088451506,0.021576353835782904,0.003644431556082223,0.017931922279700682,0.019229193949671423,0.008874575554328254,0.08043305204380814,0.0653550731065698
buitraker_revo_x,Buitraker - Revo X,19,42,parallel_quality,4.0,9,0.2942264928434212,0.11033493481628281,0.030995526939922018,0.013706105339861909,0.002582350320920194,0.011123755018941715,0.011193043845490061,0.0058267788681115274,0.052809918071856546,0.038042270555991964
