track_key,track_id,seed,corrupted_target_effect,inside_output_change,outside_output_change,localization_contrast,inside_blocks,outside_blocks
al_james_schoolboy_facination,Al James - Schoolboy Facination,123,0.9605310051817115,0.4818729958481555,0.011578310831888587,0.4702946850162669,8,16
al_james_schoolboy_facination,Al James - Schoolboy Facination,2027,1.0116184799015753,0.5023220475886888,0.05380842357948639,0.4485136240092024,8,16
al_james_schoolboy_facination,Al James - Schoolboy Facination,42,0.939653366157392,0.6327754186210781,0.060944878475183144,0.571830540145895,8,16
am_contra_heart_peripheral,AM Contra - Heart Peripheral,123,1.1724760586646716,0.7299343586698359,0.02606786113941454,0.7038664975304214,8,16
am_contra_heart_peripheral,AM Contra - Heart Peripheral,2027,1.0680944144157234,0.52831670621218,0.03497028471620754,0.4933464214959724,8,16
am_contra_heart_peripheral,AM Contra - Heart Peripheral,42,1.0404448497883756,0.5240032227675979,0.07376410677106007,0.4502391159965379,8,16
arise_run_run_run,Arise - Run Run Run,123,1.261680923665391,0.7416761325406211,0.04326416493668365,0.6984119676039375,8,16
arise_run_run_run,Arise - Run Run Run,2027,1.327549902836012,0.7317152687723778,0.055434559989943614,0.6762807087824342,8,16
arise_run_run_run,Arise - Run Run Run,42,1.3825678593960118,0.7146329817513125,0.08130707812488704,0.6333259036264255,8,16
ben_carrigan_we_ll_talk_about_it_all_tonight,Ben Carrigan - We'll Talk About It All Tonight,123,1.216285269445437,0.6502034867089773,0.031342936457761914,0.6188605502512154,8,16
ben_carrigan_we_ll_talk_about_it_all_tonight,Ben Carrigan - We'll Talk About It All Tonight,2027,1.1370822479387896,0.6938040763353661,0.02670585433998389,0.6670982219953823,8,16
ben_carrigan_we_ll_talk_about_it_all_tonight,Ben Carrigan - We'll Talk About It All Tonight,42,1.3520641610025252,0.7400266555558743,0.03023311613045062,0.7097935394254237,8,16
bks_bulldozer,BKS - Bulldozer,123,1.0779398837593133,0.6466732813790893,0.04542753959992007,0.6012457417791692,8,16
bks_bulldozer,BKS - Bulldozer,2027,0.9753673473323368,0.6970185685430826,0.047722186071729476,0.6492963824713531,8,16
bks_bulldozer,BKS - Bulldozer,42,1.0080332482850802,0.5104981804615671,0.10287515459704502,0.40762302586452215,8,16
bks_too_much,BKS - Too Much,123,1.2876937786676166,0.7257121875007189,0.02857956347380978,0.6971326240269091,8,16
