track_key,track_id,seed,corrupted_target_effect,inside_output_change,outside_output_change,localization_contrast,inside_blocks,outside_blocks
al_james_schoolboy_facination,Al James - Schoolboy Facination,123,0.7683538571508239,0.4327445385665169,0.005105953724609202,0.4276385848419077,8,16
al_james_schoolboy_facination,Al James - Schoolboy Facination,2027,0.8788929346875095,0.4614880278588498,0.040453421565849385,0.4210346062930004,8,16
al_james_schoolboy_facination,Al James - Schoolboy Facination,42,0.8528539237286191,0.5949562615314079,0.06103559259254281,0.5339206689388651,8,16
am_contra_heart_peripheral,AM Contra - Heart Peripheral,123,1.015199998701839,0.630382033326877,0.008491654261568761,0.6218903790653083,8,16
am_contra_heart_peripheral,AM Contra - Heart Peripheral,2027,0.8653885323847228,0.4527349117629911,0.017763291873917585,0.4349716198890735,8,16
am_contra_heart_peripheral,AM Contra - Heart Peripheral,42,0.8782461147987529,0.4537180882061955,0.08117744115019783,0.3725406470559977,8,16
arise_run_run_run,Arise - Run Run Run,123,1.0506797840270798,0.6550738300819775,0.03233436310306899,0.6227394669789085,8,16
arise_run_run_run,Arise - Run Run Run,2027,1.0960768800387317,0.6635017721466845,0.05565172092702688,0.6078500512196576,8,16
arise_run_run_run,Arise - Run Run Run,42,1.104699274451756,0.5948383284633997,0.08056982446795108,0.5142685039954487,8,16
ben_carrigan_we_ll_talk_about_it_all_tonight,Ben Carrigan - We'll Talk About It All Tonight,123,0.999842450516506,0.5804427741784088,0.025292475493330177,0.5551502986850787,8,16
ben_carrigan_we_ll_talk_about_it_all_tonight,Ben Carrigan - We'll Talk About It All Tonight,2027,0.9780555657999905,0.6664107450849681,0.01839162122931564,0.6480191238556525,8,16
ben_carrigan_we_ll_talk_about_it_all_tonight,Ben Carrigan - We'll Talk About It All Tonight,42,1.0827126644885108,0.6483519010385304,0.027845957374145948,0.6205059436643844,8,16
bks_bulldozer,BKS - Bulldozer,123,0.9581504590397862,0.5961104081782942,0.0504796326438844,0.5456307755344098,8,16
bks_bulldozer,BKS - Bulldozer,2027,0.9035008419927083,0.6440433352090995,0.04077589383030396,0.6032674413787955,8,16
bks_bulldozer,BKS - Bulldozer,42,0.8370828949194251,0.45002448238181464,0.0971993895453615,0.35282509283645314,8,16
bks_too_much,BKS - Too Much,123,1.0962112838102,0.6744384788129902,0.01482031172395984,0.6596181670890304,8,16
bks_too_much,BKS - Too Much,2027,1.0540061582008657,0.66376103430173,0.03951245860682526,0.6242485756949047,8,16
bks_too_much,BKS - Too Much,42,0.9813234375883435,0.50891038279432,0.06402455822443065,0.44488582456988934,8,16
buitraker_revo_x,Buitraker - Revo X,123,1.0829305892154975,0.539642123275235,0.015950203209193624,0.5236919200660414,8,16
buitraker_revo_x,Buitraker - Revo X,2027,0.8894450508718293,0.4526358104186374,0.042417479791879875,0.4102183306267575,8,16
buitraker_revo_x,Buitraker - Revo X,42,0.9391940252511055,0.47815087583319527,0.042432063583884724,0.4357188122493105,8,16
detsky_sad_walkie_talkie,Detsky Sad - Walkie Talkie,123,1.1033219858846572,0.7081607927234642,0.07319479587896865,0.6349659968444956,8,16
detsky_sad_walkie_talkie,Detsky Sad - Walkie Talkie,2027,0.8750255923350305,0.5388513848001991,0.036595627871279804,0.5022557569289193,8,16
detsky_sad_walkie_talkie,Detsky Sad - Walkie Talkie,42,1.2024309218717157,0.6041950096327429,0.02276212847486369,0.5814328811578792,8,16
forkupines_semantics,Forkupines - Semantics,123,1.1266306638219428,0.6034301389615603,0.01528570135501145,0.5881444376065488,8,16
forkupines_semantics,Forkupines - Semantics,2027,1.0280882709386354,0.5458837736097404,0.003553375640161352,0.542330397969579,8,16
forkupines_semantics,Forkupines - Semantics,42,0.8392628587172537,0.4455024985241842,0.015478544333882086,0.43002395419030215,8,16
georgia_wonder_siren,Georgia Wonder - Siren,123,0.7856789388054402,0.277959950198297,0.10204498569522696,0.17591496450307004,8,16
georgia_wonder_siren,Georgia Wonder - Siren,2027,0.7668348709028305,0.5168815711481702,0.017292019983857813,0.4995895511643124,8,16
georgia_wonder_siren,Georgia Wonder - Siren,42,1.045520728467457,0.62976111983952,0.053436467349378236,0.5763246524901418,8,16
girls_under_glass_we_feel_alright,Girls Under Glass - We Feel Alright,123,0.8932251276617311,0.4918733367006959,0.19717311202685872,0.29470022467383716,8,16
girls_under_glass_we_feel_alright,Girls Under Glass - We Feel Alright,2027,0.738079659510511,0.46530361287588307,0.07348044992445221,0.3918231629514308,8,16
girls_under_glass_we_feel_alright,Girls Under Glass - We Feel Alright,42,0.8849754811228879,0.5049636128634059,0.04374106408417684,0.461222548779229,8,16
hollow_ground_ill_fate,Hollow Ground - Ill Fate,123,1.0006652202985094,0.5976165187662689,0.029152189458001188,0.5684643293082676,8,16
hollow_ground_ill_fate,Hollow Ground - Ill Fate,2027,0.875275301395588,0.5593689979287437,0.11039787711686844,0.4489711208118753,8,16
hollow_ground_ill_fate,Hollow Ground - Ill Fate,42,1.0326408851796574,0.6773955779135419,0.044456157401848335,0.6329394205116935,8,16
juliet_s_rescue_heartbeats,Juliet's Rescue - Heartbeats,123,0.9676156549725325,0.5877044853901237,0.08409025506809095,0.5036142303220327,8,16
juliet_s_rescue_heartbeats,Juliet's Rescue - Heartbeats,2027,1.0039790875114791,0.7274349022317245,0.037544209230737126,0.6898906930009874,8,16
juliet_s_rescue_heartbeats,Juliet's Rescue - Heartbeats,42,0.9152890305285525,0.5291057400316488,0.07754800491646,0.4515577351151888,8,16
little_chicago_s_finest_my_own,Little Chicago's Finest - My Own,123,0.8689015082027217,0.4726525135204047,0.05204160311100414,0.4206109104094006,8,16
little_chicago_s_finest_my_own,Little Chicago's Finest - My Own,2027,0.8093586388713352,0.5576129412173112,0.008092236206762166,0.5495207050105491,8,16
little_chicago_s_finest_my_own,Little Chicago's Finest - My Own,42,0.888773125140589,0.4641809691026241,0.019279555543663396,0.4449014135589607,8,16
louis_cressy_band_good_time,Louis Cressy Band - Good Time,123,0.977808008212966,0.6162642188286196,0.014489576490078773,0.6017746423385408,8,16
louis_cressy_band_good_time,Louis Cressy Band - Good Time,2027,1.0910758112190475,0.7715180339869088,0.015911166137973637,0.7556068678489352,8,16
louis_cressy_band_good_time,Louis Cressy Band - Good Time,42,1.0478419878870218,0.6934071399826787,0.04924851901351376,0.6441586209691649,8,16
lyndsey_ollard_catching_up,Lyndsey Ollard - Catching Up,123,0.8471898182910089,0.4023347271943074,0.05252974989169913,0.3498049773026083,8,16
lyndsey_ollard_catching_up,Lyndsey Ollard - Catching Up,2027,1.1061288471920887,0.7395834355107612,0.04237254719832252,0.6972108883124387,8,16
lyndsey_ollard_catching_up,Lyndsey Ollard - Catching Up,42,1.0261979189093065,0.55244834460459,0.026966072992188353,0.5254822716124017,8,16
motor_tapes_shore,Motor Tapes - Shore,123,0.8295345174227146,0.4883262872177661,0.02154001656896791,0.4667862706487982,8,16
motor_tapes_shore,Motor Tapes - Shore,2027,0.99186256050581,0.6293763094271465,0.012358278341674932,0.6170180310854716,8,16
motor_tapes_shore,Motor Tapes - Shore,42,0.8400356707805631,0.5311236423004664,0.01949884889474198,0.5116247934057244,8,16
nerve_9_pray_for_the_rain,Nerve 9 - Pray For The Rain,123,0.36744552542452436,0.28089634486922976,0.08486227924937209,0.19603406561985767,8,16
nerve_9_pray_for_the_rain,Nerve 9 - Pray For The Rain,2027,0.74680755851893,0.4325001015816533,0.05670192001972411,0.3757981815619292,8,16
nerve_9_pray_for_the_rain,Nerve 9 - Pray For The Rain,42,0.7811123387221495,0.45232429013192044,0.006657019618517175,0.44566727051340327,8,16
pr_oh_no,PR - Oh No,123,0.9479027771975197,0.5031865870218561,0.3118864800750464,0.19130010694680977,8,16
pr_oh_no,PR - Oh No,2027,0.8348177542256556,0.4558079842920745,0.1112691074848137,0.3445388768072608,8,16
pr_oh_no,PR - Oh No,42,1.283198935203853,0.8559197038008569,0.14065133710537198,0.7152683666954849,8,16
punkdisco_oral_hygiene,Punkdisco - Oral Hygiene,123,1.003428195785919,0.6287695056165659,0.030039367949887923,0.5987301376666779,8,16
punkdisco_oral_hygiene,Punkdisco - Oral Hygiene,2027,0.8955867373294417,0.32679751292801784,0.018676519840394243,0.3081209930876236,8,16
punkdisco_oral_hygiene,Punkdisco - Oral Hygiene,42,1.2664412077155034,0.7372580736859642,0.021098554940387988,0.7161595187455762,8,16
raft_monk_tiring,Raft Monk - Tiring,123,0.8200318360874396,0.4213937765559367,0.022285499077740155,0.39910827747819655,8,16
