track_key,track_id,seed,corrupted_target_effect,inside_output_change,outside_output_change,localization_contrast,inside_blocks,outside_blocks
al_james_schoolboy_facination,Al James - Schoolboy Facination,123,0.307386430315736,0.05230788359962017,0.0023645051740441847,0.04994337842557599,8,16
al_james_schoolboy_facination,Al James - Schoolboy Facination,2027,0.25086267273271656,0.09306121239698828,0.013251658684103836,0.07980955371288445,8,16
al_james_schoolboy_facination,Al James - Schoolboy Facination,42,0.256346756435055,0.1289686035746861,0.007203985119277785,0.12176461845540831,8,16
am_contra_heart_peripheral,AM Contra - Heart Peripheral,123,0.28584558842371877,0.08617512399492332,0.007154263886725028,0.07902086010819828,8,16
am_contra_heart_peripheral,AM Contra - Heart Peripheral,2027,0.26682052811685064,0.1524187631569014,0.00648030642887143,0.14593845672802996,8,16
am_contra_heart_peripheral,AM Contra - Heart Peripheral,42,0.240667343049036,0.10318799652453264,0.015473936176613447,0.0877140603479192,8,16
arise_run_run_run,Arise - Run Run Run,123,0.31522995341423543,0.11303830478456935,0.004128087626741134,0.10891021715782821,8,16
arise_run_run_run,Arise - Run Run Run,2027,0.3970173845618834,0.1068393912359135,0.01015055952302936,0.09668883171288414,8,16
arise_run_run_run,Arise - Run Run Run,42,0.279139577054792,0.09290275171698749,0.019116983305044445,0.07378576841194304,8,16
ben_carrigan_we_ll_talk_about_it_all_tonight,Ben Carrigan - We'll Talk About It All Tonight,123,0.33736848642509765,0.10380736439622397,0.011454389383430116,0.09235297501279385,8,16
ben_carrigan_we_ll_talk_about_it_all_tonight,Ben Carrigan - We'll Talk About It All Tonight,2027,0.30330697093760406,0.11034491401442419,0.00417716442781569,0.10616774958660849,8,16
ben_carrigan_we_ll_talk_about_it_all_tonight,Ben Carrigan - We'll Talk About It All Tonight,42,0.334342951682977,0.10133188678784223,0.008392356374149035,0.0929395304136932,8,16
bks_bulldozer,BKS - Bulldozer,123,0.23606739876029603,0.047763729296616333,0.0065867269834716385,0.041177002313144695,8,16
bks_bulldozer,BKS - Bulldozer,2027,0.2517263679406072,0.11788920034427401,0.014666040291698094,0.10322316005257592,8,16
bks_bulldozer,BKS - Bulldozer,42,0.21318797867555814,0.11650887659974313,0.02219979162130064,0.09430908497844248,8,16
bks_too_much,BKS - Too Much,123,0.34014296395503607,0.13719782277516995,0.0056525694239708615,0.1315452533511991,8,16
bks_too_much,BKS - Too Much,2027,0.35391629903509797,0.07763850038505554,0.017774746519668976,0.05986375386538657,8,16
bks_too_much,BKS - Too Much,42,0.259623783591509,0.11279987370745076,0.011376045962739896,0.10142382774471087,8,16
buitraker_revo_x,Buitraker - Revo X,123,0.47493326148603704,0.15991184668279432,0.006628119004772608,0.1532837276780217,8,16
buitraker_revo_x,Buitraker - Revo X,2027,0.37850348816442897,0.11097964896112049,0.02107556644105281,0.08990408252006768,8,16
buitraker_revo_x,Buitraker - Revo X,42,0.33240291450823306,0.09586148273592274,0.009879656513962526,0.08598182622196021,8,16
detsky_sad_walkie_talkie,Detsky Sad - Walkie Talkie,123,0.27653056888123817,0.12596334779941393,0.007394645822144365,0.11856870197726957,8,16
detsky_sad_walkie_talkie,Detsky Sad - Walkie Talkie,2027,0.42310626040791377,0.18561105147564466,0.012305159679408179,0.17330589179623648,8,16
detsky_sad_walkie_talkie,Detsky Sad - Walkie Talkie,42,0.39872065022464787,0.298411183079223,0.024545811655404294,0.27386537142381867,8,16
forkupines_semantics,Forkupines - Semantics,123,0.3814448464486321,0.09398666286723384,0.007706128316870682,0.08628053455036316,8,16
forkupines_semantics,Forkupines - Semantics,2027,0.3143993017395075,0.12094344407905501,0.005706276877737393,0.11523716720131762,8,16
