job_id,condition_id,track_key,seed,changed_blocks,total_blocks,changed_seconds,input_error_mass,changed_input_distance,inside_output_change,outside_output_change,localization_contrast,changed_target_effect,full_output_change
al_james_schoolboy_facination_deepchroma_replay_S123,deepchroma_replay,al_james_schoolboy_facination,123,24,24,12.0,0.6588530799977358,0.6588530799977358,0.5060466995691687,0.0,0.0,0.6236025620454166,0.5060466995691687
al_james_schoolboy_facination_deepchroma_replay_S2027,deepchroma_replay,al_james_schoolboy_facination,2027,24,24,12.0,0.6588530799977358,0.6588530799977358,0.3970770955044561,0.0,0.0,0.5633579388201696,0.3970770955044561
al_james_schoolboy_facination_deepchroma_replay_S42,deepchroma_replay,al_james_schoolboy_facination,42,24,24,12.0,0.6588530799977358,0.6588530799977358,0.4717343544057073,0.0,0.0,0.5141018354091939,0.4717343544057073
am_contra_heart_peripheral_deepchroma_replay_S123,deepchroma_replay,am_contra_heart_peripheral,123,21,24,10.5,0.5013996391017012,0.5730281589733728,0.48111566414559687,0.07828954917595139,0.4028261149696455,0.5823152978902018,0.4307623997743912
am_contra_heart_peripheral_deepchroma_replay_S2027,deepchroma_replay,am_contra_heart_peripheral,2027,21,24,10.5,0.5013996391017012,0.5730281589733728,0.30981863986315245,0.1669620184550117,0.14285662140814073,0.43491380860934337,0.2919615621871348
am_contra_heart_peripheral_deepchroma_replay_S42,deepchroma_replay,am_contra_heart_peripheral,42,21,24,10.5,0.5013996391017012,0.5730281589733728,0.3451721187238587,0.07400373761822969,0.271168381105629,0.49379538905513937,0.3112760710856551
arise_run_run_run_deepchroma_replay_S123,deepchroma_replay,arise_run_run_run,123,12,24,6.0,0.26717184139971123,0.5343436827994226,0.5273773961969027,0.2956394151346135,0.2317379810622892,0.6645426562941759,0.41150840566575814
arise_run_run_run_deepchroma_replay_S2027,deepchroma_replay,arise_run_run_run,2027,12,24,6.0,0.26717184139971123,0.5343436827994226,0.3537331274168774,0.22831652469360755,0.12541660272326985,0.5595310260401422,0.29102482605524244
arise_run_run_run_deepchroma_replay_S42,deepchroma_replay,arise_run_run_run,42,12,24,6.0,0.26717184139971123,0.5343436827994226,0.3956528921132219,0.07679946401899547,0.31885342809422645,0.543105656547432,0.23622617806610866
ben_carrigan_we_ll_talk_about_it_all_tonight_deepchroma_replay_S123,deepchroma_replay,ben_carrigan_we_ll_talk_about_it_all_tonight,123,21,24,10.5,0.423661286129369,0.48418432700499325,0.5301120744219348,0.018749238178088563,0.5113628362438462,0.538996278333245,0.46619171989145397
