job_id,condition_id,track_key,seed,changed_blocks,total_blocks,changed_seconds,input_error_mass,changed_input_distance,inside_output_change,outside_output_change,localization_contrast,changed_target_effect,full_output_change
al_james_schoolboy_facination_deepchroma_profile1_S123,deepchroma_profile_1,al_james_schoolboy_facination,123,24,24,12.0,0.6584065105422924,0.6584065105422924,0.4601304926697393,0.0,0.0,0.5730700030987671,0.4601304926697393
al_james_schoolboy_facination_deepchroma_profile1_S2027,deepchroma_profile_1,al_james_schoolboy_facination,2027,24,24,12.0,0.6584065105422924,0.6584065105422924,0.38910162592057,0.0,0.0,0.3790159293236397,0.38910162592057
al_james_schoolboy_facination_deepchroma_profile1_S42,deepchroma_profile_1,al_james_schoolboy_facination,42,24,24,12.0,0.6584065105422924,0.6584065105422924,0.543992855053688,0.0,0.0,0.5602553461882707,0.543992855053688
al_james_schoolboy_facination_deepchroma_profile2_S123,deepchroma_profile_2,al_james_schoolboy_facination,123,24,24,12.0,0.7110604905654645,0.7110604905654645,0.40990172631494975,0.0,0.0,0.5555474539691378,0.40990172631494975
al_james_schoolboy_facination_deepchroma_profile2_S2027,deepchroma_profile_2,al_james_schoolboy_facination,2027,24,24,12.0,0.7110604905654645,0.7110604905654645,0.4886026764635763,0.0,0.0,0.5871221961914997,0.4886026764635763
al_james_schoolboy_facination_deepchroma_profile2_S42,deepchroma_profile_2,al_james_schoolboy_facination,42,24,24,12.0,0.7110604905654645,0.7110604905654645,0.6015238489520979,0.0,0.0,0.693803180404165,0.6015238489520979
al_james_schoolboy_facination_deepchroma_profile3_S123,deepchroma_profile_3,al_james_schoolboy_facination,123,24,24,12.0,0.64253231275884,0.64253231275884,0.40641550374317,0.0,0.0,0.5042187964882549,0.40641550374317
al_james_schoolboy_facination_deepchroma_profile3_S2027,deepchroma_profile_3,al_james_schoolboy_facination,2027,24,24,12.0,0.64253231275884,0.64253231275884,0.3452128174038734,0.0,0.0,0.4775909035131319,0.3452128174038734
al_james_schoolboy_facination_deepchroma_profile3_S42,deepchroma_profile_3,al_james_schoolboy_facination,42,24,24,12.0,0.64253231275884,0.64253231275884,0.5721963230778805,0.0,0.0,0.5638743887789285,0.5721963230778805
am_contra_heart_peripheral_deepchroma_profile1_S123,deepchroma_profile_1,am_contra_heart_peripheral,123,20,24,10.0,0.6273690976567629,0.7528429171881156,0.5540027005550907,0.05953861801846208,0.49446408253662866,0.6949808154667088,0.4715920201323192
am_contra_heart_peripheral_deepchroma_profile1_S2027,deepchroma_profile_1,am_contra_heart_peripheral,2027,20,24,10.0,0.6273690976567629,0.7528429171881156,0.41893439249477316,0.05206044252598932,0.36687394996878386,0.6762663165042202,0.35778873416664253
am_contra_heart_peripheral_deepchroma_profile1_S42,deepchroma_profile_1,am_contra_heart_peripheral,42,20,24,10.0,0.6273690976567629,0.7528429171881156,0.3086357337517155,0.04015784078741999,0.2684778929642955,0.5859345939711014,0.26388941825766626
am_contra_heart_peripheral_deepchroma_profile2_S123,deepchroma_profile_2,am_contra_heart_peripheral,123,20,24,10.0,0.5590211328162743,0.6708253593795291,0.38486133245387766,0.0509503186459046,0.33391101380797306,0.4604313510677668,0.32920949681921546
am_contra_heart_peripheral_deepchroma_profile2_S2027,deepchroma_profile_2,am_contra_heart_peripheral,2027,20,24,10.0,0.5590211328162743,0.6708253593795291,0.4416258049716265,0.08301793464696175,0.3586078703246648,0.5772497984192355,0.3818578265841825
am_contra_heart_peripheral_deepchroma_profile2_S42,deepchroma_profile_2,am_contra_heart_peripheral,42,20,24,10.0,0.5590211328162743,0.6708253593795291,0.2857070438697619,0.026667521473189792,0.25903952239657213,0.4480726470073192,0.24253379013699994
am_contra_heart_peripheral_deepchroma_profile3_S123,deepchroma_profile_3,am_contra_heart_peripheral,123,20,24,10.0,0.6309293372281657,0.7571152046737989,0.4721741779109272,0.05481809434552079,0.41735608356540643,0.645806811471419,0.4026148306500262
