"job_id","condition_id","track_key","seed","changed_blocks","total_blocks","changed_seconds","input_error_mass","changed_input_distance","inside_output_change","outside_output_change","localization_contrast","changed_target_effect","full_output_change"
"al_james_schoolboy_facination_composition_only_profile1_S123","composition_only_profile1","al_james_schoolboy_facination","123","8","24","4.0","0.21588221396557397","0.6476466418967223","0.4050527433606853","0.034071502046463954","0.37098124131422133","0.5702832489768727","0.15773191581787108"
"al_james_schoolboy_facination_composition_only_profile1_S2027","composition_only_profile1","al_james_schoolboy_facination","2027","8","24","4.0","0.21588221396557397","0.6476466418967223","0.4560416871766854","0.03370156296965386","0.42234012420703154","0.6172604976262759","0.17448160437199775"
"al_james_schoolboy_facination_composition_only_profile1_S42","composition_only_profile1","al_james_schoolboy_facination","42","8","24","4.0","0.21588221396557397","0.6476466418967223","0.550748491513916","0.11582626045074786","0.4349222310631682","0.6233347151102606","0.2608003374718039"
"al_james_schoolboy_facination_composition_only_profile2_S123","composition_only_profile2","al_james_schoolboy_facination","123","8","24","4.0","0.2569806970610354","0.7709420911831066","0.427212581642576","0.03294692229582589","0.39426565934675006","0.6588258530008573","0.1643688087447426"
"al_james_schoolboy_facination_composition_only_profile2_S2027","composition_only_profile2","al_james_schoolboy_facination","2027","8","24","4.0","0.2569806970610354","0.7709420911831066","0.3382570948755882","0.05723022925158311","0.2810268656240051","0.5862775151060926","0.15090585112625146"
"al_james_schoolboy_facination_composition_only_profile2_S42","composition_only_profile2","al_james_schoolboy_facination","42","8","24","4.0","0.2569806970610354","0.7709420911831066","0.6445683678969318","0.1462720706372313","0.49829629725970054","0.6762661667173396","0.3123708363904648"
"al_james_schoolboy_facination_composition_only_profile3_S123","composition_only_profile3","al_james_schoolboy_facination","123","8","24","4.0","0.23893664846572382","0.7168099453971718","0.4565996898548129","0.05490649291726057","0.40169319693755234","0.6743746387029783","0.18880422522977802"
"al_james_schoolboy_facination_composition_only_profile3_S2027","composition_only_profile3","al_james_schoolboy_facination","2027","8","24","4.0","0.23893664846572382","0.7168099453971718","0.4316198638352508","0.07472595375056479","0.356893910084686","0.5614641063152863","0.19369059044546014"
"al_james_schoolboy_facination_composition_only_profile3_S42","composition_only_profile3","al_james_schoolboy_facination","42","8","24","4.0","0.23893664846572382","0.7168099453971718","0.44612347092309723","0.06768424092524974","0.3784392299978475","0.5296985614557053","0.19383065092453225"
"am_contra_heart_peripheral_composition_only_profile1_S123","composition_only_profile1","am_contra_heart_peripheral","123","8","24","4.0","0.2625651829524516","0.7876955488573552","0.39785046789106493","0.020775099407143914","0.37707536848392104","0.6405754086511557","0.14646688890178428"
"am_contra_heart_peripheral_composition_only_profile1_S2027","composition_only_profile1","am_contra_heart_peripheral","2027","8","24","4.0","0.2625651829524516","0.7876955488573552","0.3819484646352221","0.02669572177420952","0.35525274286101255","0.6058595894930773","0.14511330272788037"
"am_contra_heart_peripheral_composition_only_profile1_S42","composition_only_profile1","am_contra_heart_peripheral","42","8","24","4.0","0.2625651829524516","0.7876955488573552","0.27664993180449315","0.020378463661249444","0.2562714681432437","0.5067644401301054","0.10580228637566402"
"am_contra_heart_peripheral_composition_only_profile2_S123","composition_only_profile2","am_contra_heart_peripheral","123","8","24","4.0","0.2777777777777776","0.8333333333333333","0.5956124668174155","0.020381559059258023","0.5752309077581576","0.758122848265843","0.21212519497864388"
"am_contra_heart_peripheral_composition_only_profile2_S2027","composition_only_profile2","am_contra_heart_peripheral","2027","8","24","4.0","0.2777777777777776","0.8333333333333333","0.3821595331743819","0.0309772952310724","0.3511822379433095","0.7164667934986393","0.14803804121217554"
"am_contra_heart_peripheral_composition_only_profile2_S42","composition_only_profile2","am_contra_heart_peripheral","42","8","24","4.0","0.2777777777777776","0.8333333333333333","0.3438079655566372","0.03530435791795185","0.30850360763868534","0.7078149243837133","0.13813889379751362"
"am_contra_heart_peripheral_composition_only_profile3_S123","composition_only_profile3","am_contra_heart_peripheral","123","8","24","4.0","0.24867629406356273","0.7460288821906886","0.33132917550258256","0.019133527388241194","0.31219564811434136","0.49557495786728245","0.12319874342635496"
"am_contra_heart_peripheral_composition_only_profile3_S2027","composition_only_profile3","am_contra_heart_peripheral","2027","8","24","4.0","0.24867629406356273","0.7460288821906886","0.22463864084605717","0.023069684311749536","0.20156895653430762","0.31324274581875056","0.09025933648985209"
"am_contra_heart_peripheral_composition_only_profile3_S42","composition_only_profile3","am_contra_heart_peripheral","42","8","24","4.0","0.24867629406356273","0.7460288821906886","0.2376592121827248","0.0423804489361326","0.19527876324659219","0.42288943852546906","0.10747337001833"
"arise_run_run_run_composition_only_profile1_S123","composition_only_profile1","arise_run_run_run","123","8","24","4.0","0.18963463599602481","0.5689039079880749","0.42055323169134706","0.09544113331783916","0.3251120983735079","0.5763574135607197","0.20381183277567513"
"arise_run_run_run_composition_only_profile1_S2027","composition_only_profile1","arise_run_run_run","2027","8","24","4.0","0.18963463599602481","0.5689039079880749","0.6005253688686518","0.01733664843541008","0.5831887204332418","0.6155029751259542","0.211732888579824"
"arise_run_run_run_composition_only_profile1_S42","composition_only_profile1","arise_run_run_run","42","8","24","4.0","0.18963463599602481","0.5689039079880749","0.4073213543528753","0.07918120567373776","0.32814014867913754","0.5680033895413836","0.18856125523345027"
"arise_run_run_run_composition_only_profile2_S123","composition_only_profile2","arise_run_run_run","123","8","24","4.0","0.24068652749583622","0.722059582487509","0.5352957366089137","0.168474474534605","0.3668212620743087","0.556304623577314","0.29074822855937454"
"arise_run_run_run_composition_only_profile2_S2027","composition_only_profile2","arise_run_run_run","2027","8","24","4.0","0.24068652749583622","0.722059582487509","0.6364868431039328","0.05111303783668368","0.5853738052672491","0.6086661426186877","0.2462376395924334"
"arise_run_run_run_composition_only_profile2_S42","composition_only_profile2","arise_run_run_run","42","8","24","4.0","0.24068652749583622","0.722059582487509","0.4005353931830691","0.07119958988184347","0.3293358033012256","0.5464270167058867","0.18097819098225199"
"arise_run_run_run_composition_only_profile3_S123","composition_only_profile3","arise_run_run_run","123","8","24","4.0","0.22450993041458467","0.6735297912437544","0.47121658393268195","0.12247431657997743","0.3487422673527045","0.4629481021829114","0.23872173903087893"
"arise_run_run_run_composition_only_profile3_S2027","composition_only_profile3","arise_run_run_run","2027","8","24","4.0","0.22450993041458467","0.6735297912437544","0.5778659739410609","0.04903230963659396","0.5288336643044669","0.5382293598516033","0.22531019773808292"
"arise_run_run_run_composition_only_profile3_S42","composition_only_profile3","arise_run_run_run","42","8","24","4.0","0.22450993041458467","0.6735297912437544","0.42631768118529667","0.1270565226855335","0.2992611584997632","0.4973888373057108","0.22681024218545454"
"ben_carrigan_we_ll_talk_about_it_all_tonight_composition_only_profile1_S123","composition_only_profile1","ben_carrigan_we_ll_talk_about_it_all_tonight","123","8","24","4.0","0.20833333333333315","0.6249999999999998","0.34100734844544034","0.08809718047922188","0.25291016796621846","0.47501858886787224","0.1724005698012947"
"ben_carrigan_we_ll_talk_about_it_all_tonight_composition_only_profile1_S2027","composition_only_profile1","ben_carrigan_we_ll_talk_about_it_all_tonight","2027","8","24","4.0","0.20833333333333315","0.6249999999999998","0.3459334904997815","0.028150876478516412","0.31778261402126506","0.44558355308062314","0.13407841448560479"
"ben_carrigan_we_ll_talk_about_it_all_tonight_composition_only_profile1_S42","composition_only_profile1","ben_carrigan_we_ll_talk_about_it_all_tonight","42","8","24","4.0","0.20833333333333315","0.6249999999999998","0.4923704005264681","0.02386445939124983","0.46850594113521826","0.6012626861302663","0.18003310643632262"
"ben_carrigan_we_ll_talk_about_it_all_tonight_composition_only_profile2_S123","composition_only_profile2","ben_carrigan_we_ll_talk_about_it_all_tonight","123","8","24","4.0","0.2035586760832664","0.6106760282497996","0.575956896638151","0.1414470508315734","0.4345098458065776","0.6371185116984286","0.2862836661004326"
"ben_carrigan_we_ll_talk_about_it_all_tonight_composition_only_profile2_S2027","composition_only_profile2","ben_carrigan_we_ll_talk_about_it_all_tonight","2027","8","24","4.0","0.2035586760832664","0.6106760282497996","0.564097119094312","0.024211568156835853","0.5398855509374761","0.6794947496186341","0.20417341846932793"
"ben_carrigan_we_ll_talk_about_it_all_tonight_composition_only_profile2_S42","composition_only_profile2","ben_carrigan_we_ll_talk_about_it_all_tonight","42","8","24","4.0","0.2035586760832664","0.6106760282497996","0.43587546565673624","0.014318906332192939","0.4215565593245433","0.5377934255268362","0.15483775944037403"
"ben_carrigan_we_ll_talk_about_it_all_tonight_composition_only_profile3_S123","composition_only_profile3","ben_carrigan_we_ll_talk_about_it_all_tonight","123","8","24","4.0","0.14800312052771084","0.444009361583133","0.3529380228432649","0.029614147946782708","0.32332387489648223","0.28068622650775066","0.13738877291227677"
"ben_carrigan_we_ll_talk_about_it_all_tonight_composition_only_profile3_S2027","composition_only_profile3","ben_carrigan_we_ll_talk_about_it_all_tonight","2027","8","24","4.0","0.14800312052771084","0.444009361583133","0.2777952303545366","0.014962211532949542","0.2628330188215871","0.28990753244383527","0.1025732178068119"
"ben_carrigan_we_ll_talk_about_it_all_tonight_composition_only_profile3_S42","composition_only_profile3","ben_carrigan_we_ll_talk_about_it_all_tonight","42","8","24","4.0","0.14800312052771084","0.444009361583133","0.4516844056153173","0.022013560559843964","0.42967084505547337","0.4447783112103788","0.1652371755783351"
"bks_bulldozer_composition_only_profile1_S123","composition_only_profile1","bks_bulldozer","123","8","24","4.0","0.2777777777777776","0.8333333333333333","0.5652869295257036","0.05819142757986771","0.5070955019458359","0.6884283129475139","0.22722326156181302"
"bks_bulldozer_composition_only_profile1_S2027","composition_only_profile1","bks_bulldozer","2027","8","24","4.0","0.2777777777777776","0.8333333333333333","0.4003045170443728","0.02026393318754298","0.3800405838568298","0.5290681561129349","0.14694412780648625"
"bks_bulldozer_composition_only_profile1_S42","composition_only_profile1","bks_bulldozer","42","8","24","4.0","0.2777777777777776","0.8333333333333333","0.4778731273118844","0.03746285125914146","0.44041027605274297","0.6255529210472782","0.1842662766100558"
"bks_bulldozer_composition_only_profile2_S123","composition_only_profile2","bks_bulldozer","123","8","24","4.0","0.2710406770823241","0.8131220312469727","0.5690124636197942","0.06082391461282715","0.5081885490069671","0.5517188418138419","0.23022009761514953"
"bks_bulldozer_composition_only_profile2_S2027","composition_only_profile2","bks_bulldozer","2027","8","24","4.0","0.2710406770823241","0.8131220312469727","0.3901884337330724","0.03177432009733353","0.35841411363573883","0.4842718958428463","0.15124569130924648"
"bks_bulldozer_composition_only_profile2_S42","composition_only_profile2","bks_bulldozer","42","8","24","4.0","0.2710406770823241","0.8131220312469727","0.5553231552711715","0.041986995700084344","0.5133361595710871","0.6645587613877999","0.21309904889044673"
"bks_bulldozer_composition_only_profile3_S123","composition_only_profile3","bks_bulldozer","123","8","24","4.0","0.2777777777777776","0.8333333333333333","0.37419531655879934","0.05429491327616211","0.31990040328263725","0.4604330661969629","0.16092838103704118"
"bks_bulldozer_composition_only_profile3_S2027","composition_only_profile3","bks_bulldozer","2027","8","24","4.0","0.2777777777777776","0.8333333333333333","0.46664148275398437","0.035046929147738076","0.4315945536062463","0.6291725754650511","0.17891178034982022"
"bks_bulldozer_composition_only_profile3_S42","composition_only_profile3","bks_bulldozer","42","8","24","4.0","0.2777777777777776","0.8333333333333333","0.3779563454055894","0.03191853059098491","0.3460378148146045","0.4964874073846187","0.14726446886251976"
"bks_too_much_composition_only_profile1_S123","composition_only_profile1","bks_too_much","123","8","24","4.0","0.19090363772210425","0.5727109131663131","0.4424449839295436","0.02835318156617092","0.41409180236337273","0.4659487625673282","0.1663837823539618"
"bks_too_much_composition_only_profile1_S2027","composition_only_profile1","bks_too_much","2027","8","24","4.0","0.19090363772210425","0.5727109131663131","0.5537786603355592","0.03923780256963438","0.5145408577659248","0.5733513911848239","0.21075142182494264"
"bks_too_much_composition_only_profile1_S42","composition_only_profile1","bks_too_much","42","8","24","4.0","0.19090363772210425","0.5727109131663131","0.29116509311934563","0.05107381046774941","0.2400912826515962","0.45322126248310646","0.1311042380182815"
"bks_too_much_composition_only_profile2_S123","composition_only_profile2","bks_too_much","123","8","24","4.0","0.20520147488332144","0.6156044246499647","0.48398228296557433","0.04958066884354823","0.4344016141220261","0.6370397763113854","0.19438120688422358"
"bks_too_much_composition_only_profile2_S2027","composition_only_profile2","bks_too_much","2027","8","24","4.0","0.20520147488332144","0.6156044246499647","0.6345063414424765","0.03622349870386421","0.5982828427386123","0.6042128453758289","0.23565111295006833"
"bks_too_much_composition_only_profile2_S42","composition_only_profile2","bks_too_much","42","8","24","4.0","0.20520147488332144","0.6156044246499647","0.2880143873282685","0.026440800158786186","0.2615735871694823","0.556761475781654","0.11363199588194695"
"bks_too_much_composition_only_profile3_S123","composition_only_profile3","bks_too_much","123","8","24","4.0","0.2325703043887709","0.6977109131663132","0.5757668922404169","0.03292141961556947","0.5428454726248474","0.7564062302247445","0.21386991049051862"
"bks_too_much_composition_only_profile3_S2027","composition_only_profile3","bks_too_much","2027","8","24","4.0","0.2325703043887709","0.6977109131663132","0.60488745672568","0.0271533923668928","0.5777340643587872","0.6142764800379164","0.21973141381982186"
"bks_too_much_composition_only_profile3_S42","composition_only_profile3","bks_too_much","42","8","24","4.0","0.2325703043887709","0.6977109131663132","0.39723737142772664","0.05196029572376148","0.34527707570396515","0.6930330070228075","0.16705265429174987"
"buitraker_revo_x_composition_only_profile1_S123","composition_only_profile1","buitraker_revo_x","123","8","24","4.0","0.20833333333333315","0.6249999999999999","0.45595897609472724","0.028651383852638164","0.4273075922420891","0.6399149161565785","0.17108724793333452"
"buitraker_revo_x_composition_only_profile1_S2027","composition_only_profile1","buitraker_revo_x","2027","8","24","4.0","0.20833333333333315","0.6249999999999999","0.29760425619565156","0.04695297974564888","0.2506512764500027","0.37067668444661717","0.1305034052289831"
"buitraker_revo_x_composition_only_profile1_S42","composition_only_profile1","buitraker_revo_x","42","8","24","4.0","0.20833333333333315","0.6249999999999999","0.5381568176389881","0.04451846850528895","0.4936383491336992","0.6397898367001257","0.2090645848831887"
"buitraker_revo_x_composition_only_profile2_S123","composition_only_profile2","buitraker_revo_x","123","8","24","4.0","0.22244845780373756","0.6673453734112131","0.3912973064223702","0.034433932404132624","0.3568633740182376","0.6573945046025355","0.15338839041021182"
"buitraker_revo_x_composition_only_profile2_S2027","composition_only_profile2","buitraker_revo_x","2027","8","24","4.0","0.22244845780373756","0.6673453734112131","0.3887794439578543","0.043430799352423555","0.34534864460543074","0.513772191437683","0.15854701422090048"
"buitraker_revo_x_composition_only_profile2_S42","composition_only_profile2","buitraker_revo_x","42","8","24","4.0","0.22244845780373756","0.6673453734112131","0.49815404120460294","0.05127128622472356","0.4468827549798794","0.6212318290870057","0.20023220455135005"
"buitraker_revo_x_composition_only_profile3_S123","composition_only_profile3","buitraker_revo_x","123","8","24","4.0","0.2217765240345225","0.6653295721035678","0.3648791492039846","0.0178635834352339","0.3470155657687507","0.5987939825146927","0.13353543869148415"
"buitraker_revo_x_composition_only_profile3_S2027","composition_only_profile3","buitraker_revo_x","2027","8","24","4.0","0.2217765240345225","0.6653295721035678","0.48418713985274503","0.036257171360112375","0.44792996849263267","0.6800233370122724","0.1855671608576566"
"buitraker_revo_x_composition_only_profile3_S42","composition_only_profile3","buitraker_revo_x","42","8","24","4.0","0.2217765240345225","0.6653295721035678","0.4604416812406754","0.023980360523385924","0.4364613207172895","0.6351330496870942","0.16946746742914912"
"detsky_sad_walkie_talkie_composition_only_profile1_S123","composition_only_profile1","detsky_sad_walkie_talkie","123","8","24","4.0","0.26337191146591604","0.7901157343977484","0.5804359479255004","0.07337797020765305","0.5070579777178473","0.698102935758675","0.24239729611360214"
"detsky_sad_walkie_talkie_composition_only_profile1_S2027","composition_only_profile1","detsky_sad_walkie_talkie","2027","8","24","4.0","0.26337191146591604","0.7901157343977484","0.33142193364416783","0.048905932447652234","0.2825160011965156","0.5306064539516718","0.14307793284649076"
"detsky_sad_walkie_talkie_composition_only_profile1_S42","composition_only_profile1","detsky_sad_walkie_talkie","42","8","24","4.0","0.26337191146591604","0.7901157343977484","0.532715049166355","0.04380658353632467","0.4889084656300304","0.749969049235308","0.20677607207966817"
"detsky_sad_walkie_talkie_composition_only_profile2_S123","composition_only_profile2","detsky_sad_walkie_talkie","123","8","24","4.0","0.2900532096397381","0.8701596289192146","0.6239458481110087","0.09836430810111685","0.5255815400098919","0.8993096191268873","0.2735581547710808"
"detsky_sad_walkie_talkie_composition_only_profile2_S2027","composition_only_profile2","detsky_sad_walkie_talkie","2027","8","24","4.0","0.2900532096397381","0.8701596289192146","0.5422874835111755","0.06954974753704618","0.4727377359741293","0.9569088955052321","0.22712899286175595"
"detsky_sad_walkie_talkie_composition_only_profile2_S42","composition_only_profile2","detsky_sad_walkie_talkie","42","8","24","4.0","0.2900532096397381","0.8701596289192146","0.5162260095604667","0.04314430190022742","0.47308170766023927","0.7890034816361636","0.20083820445364053"
"detsky_sad_walkie_talkie_composition_only_profile3_S123","composition_only_profile3","detsky_sad_walkie_talkie","123","8","24","4.0","0.28953623221676533","0.8686086966502965","0.6199464615427488","0.12059548975465381","0.49935097178809495","0.8470731584258756","0.2870458136840188"
"detsky_sad_walkie_talkie_composition_only_profile3_S2027","composition_only_profile3","detsky_sad_walkie_talkie","2027","8","24","4.0","0.28953623221676533","0.8686086966502965","0.5014977536921894","0.04081227384609928","0.46068547984609015","0.8385711984106614","0.19437410046146267"
"detsky_sad_walkie_talkie_composition_only_profile3_S42","composition_only_profile3","detsky_sad_walkie_talkie","42","8","24","4.0","0.28953623221676533","0.8686086966502965","0.47327706002061587","0.04054770743790335","0.4327293525827125","0.8063269605511263","0.18479082496547417"
"forkupines_semantics_composition_only_profile1_S123","composition_only_profile1","forkupines_semantics","123","8","24","4.0","0.2769985637341838","0.8309956912025518","0.5307872846750896","0.02428913214931","0.5064981525257797","0.8544653209721638","0.19312184965790316"
"forkupines_semantics_composition_only_profile1_S2027","composition_only_profile1","forkupines_semantics","2027","8","24","4.0","0.2769985637341838","0.8309956912025518","0.26412650062875714","0.027107615381461808","0.23701888524729534","0.6065128154070394","0.10611391046389358"
"forkupines_semantics_composition_only_profile1_S42","composition_only_profile1","forkupines_semantics","42","8","24","4.0","0.2769985637341838","0.8309956912025518","0.3723328953212327","0.0267847003456168","0.3455481949756159","0.6780930768106379","0.14196743200415543"
"forkupines_semantics_composition_only_profile2_S123","composition_only_profile2","forkupines_semantics","123","8","24","4.0","0.27418228797114713","0.8225468639134417","0.3691346796401964","0.01371396039846269","0.35542071924173374","0.6570190531237831","0.13218753347904058"
"forkupines_semantics_composition_only_profile2_S2027","composition_only_profile2","forkupines_semantics","2027","8","24","4.0","0.27418228797114713","0.8225468639134417","0.431161682991862","0.011490382645978486","0.4196713003458835","0.7751140742356237","0.15138081609460632"
"forkupines_semantics_composition_only_profile2_S42","composition_only_profile2","forkupines_semantics","42","8","24","4.0","0.27418228797114713","0.8225468639134417","0.3161763716455416","0.020146694382592777","0.2960296772629488","0.6506580230684185","0.11882325347024238"
"forkupines_semantics_composition_only_profile3_S123","composition_only_profile3","forkupines_semantics","123","8","24","4.0","0.29370372838610936","0.8811111851583285","0.5459299393212618","0.028200671636702986","0.5177292676845587","0.9724103630072829","0.20077709419822257"
"forkupines_semantics_composition_only_profile3_S2027","composition_only_profile3","forkupines_semantics","2027","8","24","4.0","0.29370372838610936","0.8811111851583285","0.53521360093878","0.022095576280343227","0.5131180246584368","0.8153384390664214","0.1931349178331555"
"forkupines_semantics_composition_only_profile3_S42","composition_only_profile3","forkupines_semantics","42","8","24","4.0","0.29370372838610936","0.8811111851583285","0.40653651052464956","0.028140265548260768","0.3783962449763888","0.8430939638955297","0.15427234720705704"
"georgia_wonder_siren_composition_only_profile1_S123","composition_only_profile1","georgia_wonder_siren","123","8","24","4.0","0.2551398826394393","0.7654196479183184","0.3988984756640977","0.12515897633354098","0.27373949933055675","0.6546806117220373","0.2164054761103932"
"georgia_wonder_siren_composition_only_profile1_S2027","composition_only_profile1","georgia_wonder_siren","2027","8","24","4.0","0.2551398826394393","0.7654196479183184","0.384435714100525","0.051760944063613444","0.3326747700369116","0.45210235114736774","0.1626525340759173"
"georgia_wonder_siren_composition_only_profile1_S42","composition_only_profile1","georgia_wonder_siren","42","8","24","4.0","0.2551398826394393","0.7654196479183184","0.4979648856805712","0.05704582008336282","0.44091906559720834","0.6534225680010644","0.20401884194909892"
"georgia_wonder_siren_composition_only_profile2_S123","composition_only_profile2","georgia_wonder_siren","123","8","24","4.0","0.2131080886318317","0.6393242658954955","0.18195908887013484","0.04274705991177114","0.1392120289583637","0.3020082948578916","0.08915106956455904"
"georgia_wonder_siren_composition_only_profile2_S2027","composition_only_profile2","georgia_wonder_siren","2027","8","24","4.0","0.2131080886318317","0.6393242658954955","0.2184667725211456","0.010748863679880295","0.20771790884126531","0.3078721768313333","0.07998816662696874"
"georgia_wonder_siren_composition_only_profile2_S42","composition_only_profile2","georgia_wonder_siren","42","8","24","4.0","0.2131080886318317","0.6393242658954955","0.3039227852950359","0.045862811039669896","0.25805997425536603","0.35958780256617306","0.13188280245812523"
"georgia_wonder_siren_composition_only_profile3_S123","composition_only_profile3","georgia_wonder_siren","123","8","24","4.0","0.2842424107342007","0.8527272322026026","0.3632912699908259","0.094987652881863","0.2683036171089629","0.7731330696026786","0.18442219191818396"
"georgia_wonder_siren_composition_only_profile3_S2027","composition_only_profile3","georgia_wonder_siren","2027","8","24","4.0","0.2842424107342007","0.8527272322026026","0.45081481686957137","0.03542051230563385","0.4153943045639375","0.5970277807765941","0.17388528049361304"
"georgia_wonder_siren_composition_only_profile3_S42","composition_only_profile3","georgia_wonder_siren","42","8","24","4.0","0.2842424107342007","0.8527272322026026","0.38182250441870025","0.0658476571384437","0.31597484728025654","0.7806667866458883","0.17117260623186256"
"girls_under_glass_we_feel_alright_composition_only_profile1_S123","composition_only_profile1","girls_under_glass_we_feel_alright","123","8","24","4.0","0.28025764522703805","0.8407729356811147","0.39104281345191166","0.18607440586575477","0.2049684075861569","0.5470366378052196","0.2543972083944737"
"girls_under_glass_we_feel_alright_composition_only_profile1_S2027","composition_only_profile1","girls_under_glass_we_feel_alright","2027","8","24","4.0","0.28025764522703805","0.8407729356811147","0.36848917855877916","0.04073258732143123","0.3277565912373479","0.691253525924113","0.14998478440054722"
"girls_under_glass_we_feel_alright_composition_only_profile1_S42","composition_only_profile1","girls_under_glass_we_feel_alright","42","8","24","4.0","0.28025764522703805","0.8407729356811147","0.30401414384856934","0.046811906841497115","0.25720223700707223","0.45988657654561144","0.13254598584385452"
"girls_under_glass_we_feel_alright_composition_only_profile2_S123","composition_only_profile2","girls_under_glass_we_feel_alright","123","8","24","4.0","0.28025764522703805","0.8407729356811147","0.4856144967456395","0.16515434836833037","0.32046014837730913","0.6237156864094531","0.27197439782743343"
