"job_id","condition_id","track_key","seed","changed_blocks","total_blocks","changed_seconds","input_error_mass","changed_input_distance","inside_output_change","outside_output_change","localization_contrast","changed_target_effect","full_output_change"
"al_james_schoolboy_facination_mask_only_S123","mask_only","al_james_schoolboy_facination","123","24","24","12.0","0.652973989656949","0.652973989656949","0.4346296362824537","0.0","0.0","0.5596802037197536","0.4346296362824537"
"al_james_schoolboy_facination_mask_only_S2027","mask_only","al_james_schoolboy_facination","2027","24","24","12.0","0.652973989656949","0.652973989656949","0.517854103171668","0.0","0.0","0.5716475016073689","0.517854103171668"
"al_james_schoolboy_facination_mask_only_S42","mask_only","al_james_schoolboy_facination","42","24","24","12.0","0.652973989656949","0.652973989656949","0.5334683929536966","0.0","0.0","0.5065648506058591","0.5334683929536966"
"am_contra_heart_peripheral_mask_only_S123","mask_only","am_contra_heart_peripheral","123","24","24","12.0","0.6562560953338811","0.6562560953338811","0.4519488900938238","0.0","0.0","0.5901990692509748","0.4519488900938238"
"am_contra_heart_peripheral_mask_only_S2027","mask_only","am_contra_heart_peripheral","2027","24","24","12.0","0.6562560953338811","0.6562560953338811","0.3525752247781992","0.0","0.0","0.5379295536322095","0.3525752247781992"
"am_contra_heart_peripheral_mask_only_S42","mask_only","am_contra_heart_peripheral","42","24","24","12.0","0.6562560953338811","0.6562560953338811","0.2965420507176942","0.0","0.0","0.596431028712389","0.2965420507176942"
"arise_run_run_run_mask_only_S123","mask_only","arise_run_run_run","123","11","24","5.5","0.29872317175382185","0.6517596474628842","0.47791714813780345","0.2692147722164704","0.20870237592133306","0.577507661161624","0.3648700278470814"
"arise_run_run_run_mask_only_S2027","mask_only","arise_run_run_run","2027","11","24","5.5","0.29872317175382185","0.6517596474628842","0.5303473496580252","0.13987032260626509","0.39047702705176013","0.4234343130028874","0.31883896000498846"
"arise_run_run_run_mask_only_S42","mask_only","arise_run_run_run","42","11","24","5.5","0.29872317175382185","0.6517596474628842","0.5113693229966988","0.0559523087304932","0.4554170142662056","0.4773400824851629","0.2646851069358374"
"ben_carrigan_we_ll_talk_about_it_all_tonight_mask_only_S123","mask_only","ben_carrigan_we_ll_talk_about_it_all_tonight","123","20","24","10.0","0.5238379856379685","0.6286055827655621","0.42779355474605596","0.05003307978032648","0.3777604749657295","0.37311645798594545","0.3648334755851011"
"ben_carrigan_we_ll_talk_about_it_all_tonight_mask_only_S2027","mask_only","ben_carrigan_we_ll_talk_about_it_all_tonight","2027","20","24","10.0","0.5238379856379685","0.6286055827655621","0.6577983910350909","0.20329597913252526","0.4545024119025656","0.5102831343103953","0.5820479890513299"
"ben_carrigan_we_ll_talk_about_it_all_tonight_mask_only_S42","mask_only","ben_carrigan_we_ll_talk_about_it_all_tonight","42","20","24","10.0","0.5238379856379685","0.6286055827655621","0.5110847831153198","0.004450917500984836","0.506633865614335","0.5637317306178439","0.42664580551293074"
